"","SG_PARTIDO","DT_PAGAMENTO","VR_PAGAMENTO"
"484","NOVO","07/12/2018",2486
"485","NOVO","09/02/2018",3288
"486","NOVO","09/03/2018",250
"487","NOVO","09/04/2018",20
"488","NOVO","09/05/2018",231
"489","NOVO","09/06/2018",231
"490","NOVO","09/07/2018",259
"491","NOVO","09/08/2018",231
"492","NOVO","09/09/2018",230
"493","NOVO","09/10/2018",841
"494","NOVO","09/11/2018",269
"495","NOVO","10/05/2018",20
"496","NOVO","10/10/2018",2248
"497","NOVO","11/01/2018",3541
"498","NOVO","11/12/2018",1193
"499","NOVO","12/01/2018",1006
"500","NOVO","12/04/2018",2244
"501","NOVO","12/06/2018",600
"502","NOVO","12/11/2018",1268
"503","NOVO","12/12/2018",602
"504","NOVO","13/02/2018",2227
"505","NOVO","13/03/2018",2249
"506","NOVO","13/04/2018",953
"507","NOVO","13/09/2018",1192
"508","NOVO","13/11/2018",3047
"509","NOVO","14/03/2018",871
"510","NOVO","14/06/2018",3861
"511","NOVO","14/07/2018",2248
"512","NOVO","14/08/2018",2246
"513","NOVO","14/09/2018",2468
"514","NOVO","15/05/2018",941
"515","NOVO","15/08/2018",1076
"516","NOVO","16/06/2018",2248
"517","NOVO","16/07/2018",1132
"518","NOVO","16/08/2018",523
"519","NOVO","16/10/2018",1269
"520","NOVO","17/05/2018",2395
"521","NOVO","19/02/2018",2651
"522","NOVO","19/09/2018",22
"523","NOVO","20/03/2018",2899
"524","NOVO","20/08/2018",2281
"525","NOVO","20/09/2018",22
"526","NOVO","20/12/2018",1504
"527","NOVO","22/03/2018",2529
"528","NOVO","22/11/2018",2168
"529","NOVO","23/01/2018",1271
"530","NOVO","23/05/2018",897
"531","NOVO","23/08/2018",22
"532","NOVO","25/04/2018",231
"533","NOVO","25/06/2018",2518
"534","NOVO","26/02/2018",1271
"535","NOVO","26/06/2018",5359
"536","NOVO","26/09/2018",1794
"537","NOVO","27/08/2018",897
"538","NOVO","27/09/2018",1635
"539","NOVO","28/02/2018",2840
"540","NOVO","28/08/2018",1015
"541","NOVO","28/11/2018",897
"542","NOVO","29/08/2018",33
"543","NOVO","30/04/2018",1319
"544","NOVO","30/06/2018",5591
"545","NOVO","30/08/2018",513
"546","NOVO","30/09/2018",5897
"547","NOVO","30/11/2018",4556
"548","NOVO","31/03/2018",1905
"549","NOVO","31/05/2018",5791
"550","NOVO","31/07/2018",5590
"551","NOVO","31/08/2018",5631
"552","NOVO","31/10/2018",1359
"553","NOVO","31/12/2017",3212
"554","PATRI","01/02/2018",2349
"555","PATRI","01/03/2018",2349
"556","PATRI","01/04/2018",2349
"557","PATRI","01/05/2018",2349
"558","PATRI","01/06/2018",2349
"559","PATRI","01/07/2018",2349
"560","PATRI","01/08/2018",2349
"561","PATRI","01/09/2018",2349
"562","PATRI","01/10/2018",956
"563","PATRI","01/11/2018",936
"564","PATRI","02/08/2018",3114
"565","PATRI","02/10/2018",2169
"566","PATRI","03/07/2018",2099
"567","PATRI","03/08/2018",3339
"568","PATRI","04/06/2018",2099
"569","PATRI","04/09/2018",2169
"570","PATRI","04/10/2018",17
"571","PATRI","04/12/2018",2169
"572","PATRI","05/11/2018",2169
"573","PATRI","06/07/2018",1833
"574","PATRI","06/11/2018",936
"575","PATRI","08/06/2018",270
"576","PATRI","09/08/2018",5442
"577","PATRI","09/10/2018",965
"578","PATRI","10/04/2018",945
"579","PATRI","10/05/2018",1320
"580","PATRI","10/10/2018",4680
"581","PATRI","12/09/2018",9012
"582","PATRI","12/11/2018",934
"583","PATRI","13/08/2018",934
"584","PATRI","16/10/2018",936
"585","PATRI","17/08/2018",1890
"586","PATRI","19/06/2018",930
"587","PATRI","19/10/2018",1835
"588","PATRI","20/09/2018",1502
"589","PATRI","21/08/2018",1835
"590","PATRI","22/08/2018",934
"591","PATRI","25/05/2018",22524
"592","PATRI","25/09/2018",1913
"593","PATRI","25/10/2018",1872
"594","PATRI","27/09/2018",936
"595","PATRI","28/05/2018",3257
"596","PATRI","28/09/2018",50
"597","PATRI","29/10/2018",1872
"598","PATRI","30/05/2018",933
"599","PATRI","31/08/2018",50
"600","PATRI","31/12/2018",936
"601","PCDOB","01/10/2018",20665
"602","PCDOB","02/04/2018",386
"603","PCDOB","02/09/2018",2190
"604","PCDOB","02/10/2018",597
"605","PCDOB","03/04/2018",460
"606","PCDOB","03/05/2018",4150
"607","PCDOB","03/08/2018",2345
"608","PCDOB","03/09/2018",1200
"609","PCDOB","03/10/2018",1528
"610","PCDOB","04/07/2018",580
"611","PCDOB","04/10/2018",5195
"612","PCDOB","05/09/2018",3395
"613","PCDOB","05/10/2018",4211
"614","PCDOB","06/08/2018",2812
"615","PCDOB","06/09/2018",1623
"616","PCDOB","06/10/2018",44
"617","PCDOB","07/03/2018",3991
"618","PCDOB","07/09/2018",1199
"619","PCDOB","07/10/2018",1844
"620","PCDOB","07/11/2018",2695
"621","PCDOB","08/03/2018",1834
"622","PCDOB","08/08/2018",2763
"623","PCDOB","08/09/2018",1843
"624","PCDOB","08/11/2018",180
"625","PCDOB","09/04/2018",2695
"626","PCDOB","09/07/2018",1103
"627","PCDOB","09/09/2018",1518
"628","PCDOB","10/07/2018",2695
"629","PCDOB","10/08/2018",2523
"630","PCDOB","11/07/2018",949
"631","PCDOB","11/10/2018",1466
"632","PCDOB","12/07/2018",3016
"633","PCDOB","12/11/2018",1525
"634","PCDOB","13/06/2018",580
"635","PCDOB","13/09/2018",2211
"636","PCDOB","14/03/2018",933
"637","PCDOB","14/06/2018",1318
"638","PCDOB","14/08/2018",2695
"639","PCDOB","14/09/2018",2253
"640","PCDOB","14/11/2018",1559
"641","PCDOB","15/05/2018",2695
"642","PCDOB","15/06/2018",6131
"643","PCDOB","15/08/2018",657
"644","PCDOB","15/10/2018",1523
"645","PCDOB","16/08/2018",531
"646","PCDOB","16/11/2018",1727
"647","PCDOB","17/09/2018",3025
"648","PCDOB","17/10/2018",1883
"649","PCDOB","17/11/2018",2098
"650","PCDOB","18/09/2018",11357
"651","PCDOB","18/10/2018",1882
"652","PCDOB","18/11/2018",1968
"653","PCDOB","18/12/2018",4889
"654","PCDOB","19/06/2018",2695
"655","PCDOB","19/09/2018",1416
"656","PCDOB","19/10/2018",1196
"657","PCDOB","19/11/2018",1195
"658","PCDOB","20/03/2018",7759
"659","PCDOB","20/06/2018",2135
"660","PCDOB","20/09/2018",1350
"661","PCDOB","20/10/2018",954
"662","PCDOB","20/11/2018",1595
"663","PCDOB","20/12/2018",1703
"664","PCDOB","21/02/2018",25
"665","PCDOB","21/03/2018",933
"666","PCDOB","21/06/2018",1502
"667","PCDOB","21/08/2018",2964
"668","PCDOB","21/09/2018",1316
"669","PCDOB","21/10/2018",1777
"670","PCDOB","21/11/2018",1322
"671","PCDOB","22/02/2018",3203
"672","PCDOB","22/03/2018",2413
"673","PCDOB","22/08/2018",1706
"674","PCDOB","22/09/2018",1001
"675","PCDOB","22/10/2018",1378
"676","PCDOB","22/11/2018",1651
"677","PCDOB","23/02/2018",9814
"678","PCDOB","23/07/2018",1847
"679","PCDOB","23/09/2018",1008
"680","PCDOB","23/10/2018",3492
"681","PCDOB","23/11/2018",2124
"682","PCDOB","24/03/2018",1502
"683","PCDOB","24/07/2018",7084
"684","PCDOB","24/09/2018",1475
"685","PCDOB","24/10/2018",945
"686","PCDOB","24/11/2018",1842
"687","PCDOB","25/04/2018",580
"688","PCDOB","25/07/2018",956
"689","PCDOB","25/09/2018",6356
"690","PCDOB","25/10/2018",1460
"691","PCDOB","25/11/2018",1421
"692","PCDOB","26/02/2018",7265
"693","PCDOB","26/09/2018",3160
"694","PCDOB","26/10/2018",1263
"695","PCDOB","26/11/2018",1697
"696","PCDOB","26/12/2018",2622
"697","PCDOB","27/08/2018",1520
"698","PCDOB","27/09/2018",1134
"699","PCDOB","27/10/2018",1326
"700","PCDOB","27/11/2018",2253
"701","PCDOB","27/12/2018",3029
"702","PCDOB","28/07/2018",2306
"703","PCDOB","28/09/2018",3181
